order,log_mass,litter,long,met
Artiodactyla,11.66559122,1.324254144,225.4734591,19983.82727
Carnivora,10.73205074,2.655183486,235.2164571,10259.46935
Chiroptera,4.075878706,1.114561028,173.7123611,54.3186747
Dasyuromorphia,6.704889732,6.0624,47.151,204.169
Didelphimorphia,5.330550323,6.623703704,46.84705882,299.0636364
Diprotodontia,8.636400927,1.247238095,154.9138462,1696.0472
Hyracoidea,7.983440063,1.7775,144.6,733.5466667
Insectivora,4.128083678,3.826387097,46.43396226,84.01475
Lagomorpha,7.464920448,3.312982456,91.54285714,1076.623333
Macroscelidea,5.000007591,1.571428571,54.96,70.23285714
Monotremata,8.512515602,1.33,412,702.26
Peramelemorphia,6.877079011,2.057058824,56.9,362.845
Pholidota,9.162649603,1.008333333,162,1070.22
Primates,8.575809947,1.151989529,323.6685714,1021.0344
Rodentia,5.989574925,3.523526012,79.15728205,213.0994444
Scandentia,4.985820125,2.265555556,116.68,120.3633333
Sirenia,13.93489231,0.944,520,11565.61
Tubulidentata,10.97164063,0.96,288,6144
Xenarthra,8.605471811,2.177619048,192.4892308,941.8186667
