order,family,mass,long,met,log_mass,litter
Artiodactyla,Antilocapridae,46900,144,8960,10.75577295,2
Artiodactyla,Bovidae,118152.2556,212.1238261,13032.42857,11.67972937,1.068849558
Artiodactyla,Camelidae,229983.3333,399.3,40293,12.34576212,1.003333333
Artiodactyla,Cervidae,70156.74419,230.1942857,78470,11.15848722,1.191714286
Artiodactyla,Tragulidae,5247.5,169.32,872.1,8.565507052,1.125
Carnivora,Canidae,8260.575758,171.2,3763.442222,9.019249568,4.067931034
Carnivora,Felidae,21942.5,242.5679167,12516.13333,9.996180674,2.44625
Carnivora,Herpestidae,1460,144.7266667,415.9066667,7.286191715,2.388461538
Carnivora,Hyaenidae,37697.5,321.3,3310.635,10.53734906,2.4175
Carnivora,Mustelidae,4285.740323,162.3268421,2308.189286,8.363048587,3.584313725
Carnivora,Otariidae,143378.5714,284.8,12433.8,11.87324376,1
Carnivora,Phocidae,316394.7368,414.4183333,45845.57143,12.66474588,0.992105263
Carnivora,Procyonidae,2609,245.9333333,1569.421667,7.866722285,2.645555556
Carnivora,Ursidae,131552.2222,400.7111111,20181.15,11.78715918,1.791111111
Carnivora,Viverridae,4031.666667,212.99,952.0333333,8.301935134,2.259583333
Chiroptera,Emballonuridae,17.25236842,60,12.28,2.847949434,0.994090909
Chiroptera,Megadermatidae,47.48,168,139.12,3.86030857,1
Chiroptera,Molossidae,27.57686275,120,21.0975,3.316977115,0.993809524
Chiroptera,Natalidae,5.16,57.96,8.31,1.640936579,0.98
Chiroptera,Noctilionidae,45.8,138,40.225,3.824284091,0.98
Chiroptera,Phyllostomidae,24.65228814,130.2727273,36.89137931,3.204869721,0.985471698
Chiroptera,Pteropodidae,225.3266667,225.759,135.7005,5.417551201,1.009111111
Chiroptera,Rhinolophidae,13.84744186,204,9.35,2.628100512,1.027272727
Chiroptera,Vespertilionidae,10.35359606,178.944878,16.1625,2.337333905,1.397703704
Dasyuromorphia,Dasyuridae,318.297931,43.63263158,206.2410526,5.762987834,6.169583333
Dasyuromorphia,Myrmecobiidae,522,72,164.8,6.257667588,3.99
Didelphimorphia,Didelphidae,206.5516129,46.84705882,299.0636364,5.330550323,6.623703704
Diprotodontia,Acrobatidae,33.5,55.2,14938,3.511545439,1.97
Diprotodontia,Burramyidae,23.3,92.8,33.4375,3.148453361,3.596
Diprotodontia,Macropodidae,8850.37037,171.6484848,2264.72,9.088214587,1.006538462
Diprotodontia,Petauridae,303.6666667,150.2,97,5.715930609,1.39
Diprotodontia,Phalangeridae,2860.625,129.4,822.165,7.958795411,1.099230769
Diprotodontia,Phascolarctidae,6580,240,1034.1,8.791790024,1
Diprotodontia,Potoroidae,1340.777778,116.7,696.9633333,7.201005156,1.125
Diprotodontia,Pseudocheiridae,914.3571429,108,464.075,6.818221242,1.291666667
Diprotodontia,Tarsipedidae,9.74,24,29,2.276241118,2.79
Diprotodontia,Vombatidae,28033.33333,322.4,3291.2,10.24114956,1
Hyracoidea,Procaviidae,2932,144.6,733.5466667,7.983440063,1.7775
Insectivora,Chrysochloridae,84.8,28,46.96333333,4.440295543,1.858181818
Insectivora,Erinaceidae,433.8833333,94.32,264.014,6.072775681,3.533076923
Insectivora,Soricidae,12.027,23.192,41.6085,2.487154122,4.115
Insectivora,Talpidae,80.835,48.7,83.07,4.39241004,3.703809524
Insectivora,Tenrecidae,115.8733333,87.86666667,90.91666667,4.75249764,4.306666667
Lagomorpha,Leporidae,2142.958333,116.7,1258.594,7.669942552,2.966341463
Lagomorpha,Ochotonidae,156.75,58,166.77,5.05465218,4.20125
Macroscelidea,Macroscelididae,148.4142857,54.96,70.23285714,5.000007591,1.571428571
Monotremata,Ornithorhynchidae,1480,264,477.34,7.299797367,1.99
Monotremata,Tachyglossidae,6725,486,814.72,8.813587204,1
Peramelemorphia,Peramelidae,692.8,66.75,360.16,6.540741357,2.276
